name,description,source,requiredDataConnectors,query,supported
Exploit and Pentest Framework User Agent,"'There are several exploit and pen test frameworks that are being used by pen testers as well as attackers to 
compromise an environment and achieve their objective. The query tries to detect suspicious user agent strings 
used by these frameworks in some of the data sources that contain UserAgent field. 
This is based out of sigma rules described in references.
References: https://github.com/Neo23x0/sigma/blob/master/rules/proxy/proxy_ua_frameworks.yml'
",MultipleDataSources,"[
    {
        ""connectorId"":  ""Office365"",
        ""dataTypes"":  [
                          ""OfficeActivity""
                      ]
    },
    {
        ""connectorId"":  ""AWS"",
        ""dataTypes"":  [
                          ""AWSCloudTrail""
                      ]
    },
    {
        ""connectorId"":  ""AzureMonitor(IIS)"",
        ""dataTypes"":  [
                          ""W3CIISLog""
                      ]
    }
]","
let timeframe = 14d;
let UserAgentList = ""Internet Explorer |Mozilla/4\\.0 \\(compatible; MSIE 6\\.0; Windows NT 5\\.1; SV1; InfoPath\\.2\\)|Mozilla/5\\.0 \\(Windows NT 10\\.0; Win32; x32; rv:60\\.0\\)|Mozilla/4\\.0 \\(compatible; Metasploit RSPEC\\)|Mozilla/4\\.0 \\(compatible; MSIE 6\\.1; Windows NT\\)|Mozilla/4\\.0 \\(compatible; MSIE 6\\.0; Windows NT 5\\.1\\)|Mozilla/4\\.0 \\(compatible; MSIE 8\\.0; Windows NT 6\\.0; Trident/4\\.0\\)|Mozilla/4\\.0 \\(compatible; MSIE 7\\.0; Windows NT 6\\.0; Trident/4\\.0; SIMBAR={7DB0F6DE-8DE7-4841-9084-28FA914B0F2E}; SLCC1; \\.N|Mozilla/5\\.0 \\(Windows; U; Windows NT 5\\.1; en-US\\) AppleWebKit/525\\.13 \\(KHTML, like Gecko\\) Chrome/4\\.0\\.221\\.6 Safari/525\\.13|Mozilla/5\\.0 \\(compatible; MSIE 9\\.0; Windows NT 6\\.1; WOW64; Trident/5\\.0; MAAU\\)|Mozilla/5\\.0[^\\s]|Mozilla/4\\.0 \\(compatible; SPIPE/1\\.0|Mozilla/5\\.0 \\(Windows NT 6\\.3; rv:39\\.0\\) Gecko/20100101 Firefox/35\\.0|Sametime Community Agent|X-FORWARDED-FOR|DotDotPwn v2\\.1|SIPDROID|wordpress hash grabber|exploit|okhttp/"";
// Excluding for IIS, as the main malicious usage for okhttp that we have seen was in the OfficeActivity logs and this can create noise for IIS.
let ExcludeIIS = ""okhttp/"";
(union isfuzzy=true
(OfficeActivity
| where TimeGenerated >= ago(timeframe) 
| where ExtendedProperties has ""UserAgent""
| extend UserAgent = extractjson(""$[0].Value"", ExtendedProperties, typeof(string))
| where UserAgent matches regex UserAgentList
| project TimeGenerated, Type, UserAgent, SourceIP
| extend IPCustomEntity = SourceIP
),
(
W3CIISLog
| where TimeGenerated >= ago(timeframe)
| extend UserAgent = replace('\\+', ' ', csUserAgent) 
| where UserAgent matches regex UserAgentList
| where UserAgent !startswith ExcludeIIS
| extend SourceIP = cIP
| project TimeGenerated, Type, UserAgent, SourceIP
| extend IPCustomEntity = SourceIP
),
(
AWSCloudTrail
| where TimeGenerated >= ago(timeframe) 
| where UserAgent matches regex UserAgentList
| extend SourceIP = SourceIpAddress
| project TimeGenerated, Type, UserAgent, SourceIP
))
| summarize min(TimeGenerated), max(TimeGenerated), count() by Type, UserAgent, SourceIP
| extend timestamp = min_TimeGenerated, IPCustomEntity = SourceIP
",no
User Granted Access and created resources,"'Identifies when a new user is granted access and starts creating resources in Azure.  This can help you identify rogue or malicious user behavior.'
",MultipleDataSources,"[
    {
        ""connectorId"":  ""AzureActivity"",
        ""dataTypes"":  [
                          ""AuditLogs""
                      ]
    },
    {
        ""connectorId"":  ""AzureActivity"",
        ""dataTypes"":  [
                          ""AzureActivity""
                      ]
    }
]","
let auditLookback = 14d;
let opName = dynamic([""Add user"", ""Invite external user""]);
// Helper function to extract relevant fields from AuditLog events
let auditLogEvents = view (startTimeSpan:timespan, operation:dynamic)  {
    AuditLogs | where TimeGenerated >= ago(auditLookback)
    | where OperationName in~ (operation)
    | extend ModProps = iff(TargetResources.[0].modifiedProperties != ""[]"", TargetResources.[0].modifiedProperties, todynamic(""NoValues""))
    | extend IpAddress = iff(isnotempty(tostring(parse_json(tostring(InitiatedBy.user)).ipAddress)), 
    tostring(parse_json(tostring(InitiatedBy.user)).ipAddress), tostring(parse_json(tostring(InitiatedBy.app)).ipAddress))
    | extend InitiatedByFull = iff(isnotempty(tostring(parse_json(tostring(InitiatedBy.user)).userPrincipalName)), 
    tostring(parse_json(tostring(InitiatedBy.user)).userPrincipalName), tostring(parse_json(tostring(InitiatedBy.app)).displayName))
    | extend InitiatedBy = replace(""_"",""@"",tostring(split(InitiatedByFull, ""#"")[0]))
    | extend TargetUserPrincipalName = tostring(TargetResources[0].userPrincipalName)
    | extend TargetUserName = replace(""_"",""@"",tostring(split(TargetUserPrincipalName, ""#"")[0]))
    | extend TargetResourceName = case(
    isempty(tostring(TargetResources.[0].displayName)), TargetUserPrincipalName,
    isnotempty(tostring(TargetResources.[0].displayName)) and tostring(TargetResources.[0].displayName) startswith ""upn:"", tolower(tostring(TargetResources.[0].displayName)),
    tolower(tostring(TargetResources.[0].displayName))
    )
    | extend TargetUserName = replace(""_"",""@"",tostring(split(TargetUserPrincipalName, ""#"")[0]))
    | extend TargetUserName = iff(isempty(TargetUserName), tostring(split(split(TargetResourceName, "","")[0], "" "")[1]), TargetUserName ) 
    | mvexpand ModProps
    | extend PropertyName = tostring(ModProps.displayName), newValue = replace(""\"""","""",tostring(ModProps.newValue));
};
let UserAdd = auditLogEvents(auditLookback, opName) 
| project Action = ""User Added"", TimeGenerated, Type, InitiatedBy_Caller = InitiatedBy, IpAddress, TargetUserName = tolower(TargetUserName), OperationName, PropertyName_ResourceId = PropertyName, Value = newValue;
// Get the simple list of creatd users so we can use later to get just the associated resource creation events
let SimpleUserList = UserAdd | project TimeGenerated, TargetUserName;
let ResourceCreation = AzureActivity
| where TimeGenerated >= ago(auditLookback)
// We look for any Operation that created and then succeeded where ActivityStatus has a value so that we can provide context
| where OperationName == ""Microsoft.Resources/deployments/write""
| where ActivityStatus has ""Succeeded""
| project Action = ""Resource Created"", ResourceCreationTimeGenerated = TimeGenerated, Type, InitiatedBy_Caller = tolower(Caller), IpAddress = CallerIpAddress, OperationName, Value = OperationNameValue, PropertyName_ResourceId = ResourceId;
// Get just the Resources added by the new user
let ResourceMatch = SimpleUserList | join kind= innerunique (
   ResourceCreation
) on $left.TargetUserName == $right.InitiatedBy_Caller
// where the resource creation is after (greater than) the user addition
| where TimeGenerated < ResourceCreationTimeGenerated
| project-away TimeGenerated 
| project-rename TimeGenerated = ResourceCreationTimeGenerated
;
let SimpleResourceMatch = ResourceMatch | project InitiatedBy_Caller;
// Get only resource add, remove, change by the new user
let UserAddWithResource = SimpleResourceMatch | join kind= rightsemi (
   UserAdd 
) on $left.InitiatedBy_Caller == $right.TargetUserName;
// union the user addition events and resource addition events and provide common column names, additionally pack the value, property and resource info to reduce result set.
UserAddWithResource 
| union isfuzzy=true ResourceMatch
| extend PropertySet = pack(""Value"", Value, ""PropertyName_ResourceId"", PropertyName_ResourceId) 
| summarize StartTimeUtc = min(TimeGenerated), EndTimeUtc = max(TimeGenerated), makeset(PropertySet)  by Action, Type, TargetUserName, InitiatedBy_Caller, IpAddress, OperationName
| order by StartTimeUtc asc 
| extend timestamp = StartTimeUtc, AccountCustomEntity = TargetUserName, IPCustomEntity = IpAddress
",yes
Exes with double file extentsion and access summary,"'Provides a summary of executable files with double file extensions in SharePoint 
 and the users and IP addresses that have accessed them.'
",OfficeActivity,"{
    ""connectorId"":  ""Office365"",
    ""dataTypes"":  [
                      ""OfficeActivity""
                  ]
}","
let timeframe = 14d;
let known_ext = dynamic([""lnk"",""log"",""option"",""config"", ""manifest"", ""partial""]);
let excluded_users = dynamic([""app@sharepoint""]);
OfficeActivity
| where TimeGenerated > ago(timeframe)
| where RecordType =~ ""SharePointFileOperation"" and isnotempty(SourceFileName)
| where OfficeObjectId has "".exe."" and SourceFileExtension !in~ (known_ext)
| extend Extension = extract(""[^.]*.[^.]*$"",0, OfficeObjectId)
| join kind= leftouter ( 
  OfficeActivity
    | where TimeGenerated > ago(timeframe)
    | where RecordType =~ ""SharePointFileOperation"" and (Operation =~ ""FileDownloaded"" or Operation =~ ""FileAccessed"") 
    | where SourceFileExtension !in~ (known_ext)
) on OfficeObjectId 
| where UserId1 !in~ (excluded_users)
| extend userBag = pack(UserId1, ClientIP1) 
| summarize makeset(UserId1), make_bag(userBag), Start=max(TimeGenerated), End=min(TimeGenerated) by UserId, OfficeObjectId, SourceFileName, Extension 
| extend NumberOfUsers = array_length(bag_keys(bag_userBag))
| project UploadTime=Start, Uploader=UserId, FileLocation=OfficeObjectId, FileName=SourceFileName, AccessedBy=bag_userBag, Extension, NumberOfUsers
| extend timestamp = UploadTime, AccountCustomEntity = Uploader
",no
Mail redirect via ExO transport rule,"'Identifies when Exchange Online transport rule configured to forward emails.
This could be an adversary mailbox configured to collect mail from multiple user accounts.'
",OfficeActivity,"{
    ""connectorId"":  ""Office365"",
    ""dataTypes"":  [
                      ""OfficeActivity""
                  ]
}","
let timeframe = 14d;
OfficeActivity
| where TimeGenerated >= ago(timeframe)
| where OfficeWorkload == ""Exchange""
| where Operation in~ (""New-TransportRule"", ""Set-TransportRule"")
| extend p = parse_json(Parameters)
| extend RuleName = case(
  Operation =~ ""Set-TransportRule"", tostring(OfficeObjectId),
  Operation =~ ""New-TransportRule"", tostring(p[1].Value),
  ""Unknown""
  ) 
| mvexpand p
| where (p.Name =~ ""BlindCopyTo"" or p.Name =~ ""RedirectMessageTo"") and isnotempty(p.Value)
| extend RedirectTo = p.Value
| extend ClientIPOnly = case( 
  ClientIP has ""."" and ClientIP has "":"", tostring(split(ClientIP,"":"")[0]), 
  ClientIP has ""."" and ClientIP has ""-"", tostring(split(ClientIP,""-"")[0]), 
  ClientIP has ""["", tostring(trim_start(@'[[]',tostring(split(ClientIP,""]"")[0]))),
  ClientIP
  )  
| extend Port = case(
  ClientIP has ""."" and ClientIP has "":"", (split(ClientIP,"":"")[1]),
  ClientIP has ""."" and ClientIP has ""-"", (split(ClientIP,""-"")[1]),
  ClientIP has ""["" and ClientIP has "":"", tostring(split(ClientIP,""]:"")[1]),
  ClientIP has ""["" and ClientIP has ""-"", tostring(split(ClientIP,""]-"")[1]),
  ClientIP
  )
| extend ClientIP = ClientIPOnly
| project TimeGenerated, RedirectTo, ClientIP, Port, UserId, Operation, RuleName
| extend timestamp = TimeGenerated, AccountCustomEntity = UserId, IPCustomEntity = ClientIP 
",no
New Admin account activity seen which was not seen historically,"'This will help you discover any new admin account activity which was seen and were not seen historically. 
Any new accounts seen in the results can be validated and investigated for any suspicious activities.'
",OfficeActivity,"{
    ""connectorId"":  ""Office365"",
    ""dataTypes"":  [
                      ""OfficeActivity""
                  ]
}","
let starttime = 14d;
let endtime = 1d;
let historicalActivity=
OfficeActivity
| where TimeGenerated between(ago(starttime)..ago(endtime))
| where RecordType==""ExchangeAdmin"" and UserType in (""Admin"",""DcAdmin"")
| summarize historicalCount=count() by UserId;
let recentActivity = OfficeActivity
| where TimeGenerated > ago(endtime)
| where UserType in (""Admin"",""DcAdmin"")
| summarize recentCount=count() by UserId;
recentActivity | join kind = leftanti (
   historicalActivity
) on UserId
| project UserId,recentCount
| order by recentCount asc, UserId
| join kind = rightsemi 
(OfficeActivity 
| where TimeGenerated >= ago(endtime) 
| where RecordType == ""ExchangeAdmin"" | where UserType in (""Admin"",""DcAdmin"")) 
on UserId
| summarize count(), min(TimeGenerated), max(TimeGenerated) by RecordType, Operation, UserType, UserId, OriginatingServer, ResultStatus
| extend timestamp = min_TimeGenerated, AccountCustomEntity = UserId
",no
SharePointFileOperation via previously unseen IPs,"'Shows volume of documents uploaded to or downloaded from Sharepoint by new IP addresses. 
In stable environments such connections by new IPs may be unauthorized, especially if associated with 
spikes in volume which could be associated with large-scale document exfiltration.'
",OfficeActivity,"{
    ""connectorId"":  ""Office365"",
    ""dataTypes"":  [
                      ""OfficeActivity""
                  ]
}","
let starttime = 14d;
let endtime = 1d;
let historicalActivity=
OfficeActivity
| where  RecordType == ""SharePointFileOperation""
| where Operation in (""FileDownloaded"", ""FileUploaded"")
| where TimeGenerated between(ago(starttime)..ago(endtime))
| summarize historicalCount=count() by ClientIP;
let recentActivity = OfficeActivity
| where  RecordType == ""SharePointFileOperation""
| where Operation in (""FileDownloaded"", ""FileUploaded"")
| where TimeGenerated > ago(endtime) 
| summarize StartTimeUtc = min(TimeGenerated), EndTimeUtc = max(TimeGenerated), recentCount=count() by ClientIP;
recentActivity | join kind= leftanti (
   historicalActivity 
) on ClientIP 
| extend timestamp = StartTimeUtc, IPCustomEntity = ClientIP
",no
SharePointFileOperation via devices with previously unseen user agents,"'Tracking via user agent is one way to differentiate between types of connecting device. 
In homogeneous enterprise environments the user agent associated with an attacker device may stand out as unusual.'
",OfficeActivity,"{
    ""connectorId"":  ""Office365"",
    ""dataTypes"":  [
                      ""OfficeActivity""
                  ]
}","
let starttime = 14d;
let endtime = 1d;
let historicalActivity=
OfficeActivity
| where  RecordType == ""SharePointFileOperation""
| where Operation in (""FileDownloaded"", ""FileUploaded"")
| where TimeGenerated between(ago(starttime)..ago(endtime))
| summarize historicalCount=count() by UserAgent, RecordType;
let recentActivity = OfficeActivity
| where  RecordType == ""SharePointFileOperation""
| where Operation in (""FileDownloaded"", ""FileUploaded"")
| where TimeGenerated > ago(endtime) 
| summarize StartTimeUtc = min(TimeGenerated), EndTimeUtc = max(TimeGenerated), recentCount=count() by UserAgent, RecordType;
recentActivity | join kind = leftanti (
   historicalActivity 
) on UserAgent, RecordType
| order by recentCount asc, UserAgent
| extend timestamp = StartTimeUtc
",no
New Windows Reserved Filenames staged on Office file services,"'Identifies when new Windows Reserved Filenames show up on Office services such as SharePoint and OneDrive in relation to the previous 7 days.
List currently includes 'CON', 'PRN', 'AUX', 'NUL', 'COM1', 'COM2', 'COM3', 'COM4', 'COM5', 'COM6', 
'COM7', 'COM8', 'COM9', 'LPT1', 'LPT2', 'LPT3', 'LPT4', 'LPT5', 'LPT6', 'LPT7', 'LPT8', 'LPT9' file extensions.
Additionally, identifies when a given user is uploading these files to another users workspace.
This may be indication of a staging location for malware or other malicious activity.
References: https://docs.microsoft.com/windows/win32/fileio/naming-a-file'
",OfficeActivity,"{
    ""connectorId"":  ""Office365"",
    ""dataTypes"":  [
                      ""OfficeActivity""
                  ]
}","
// a threshold can be enabled, see commented line below for PrevSeenCount
let threshold = 1;
// Reserved FileNames/Extension for Windows
let Reserved = dynamic(['CON', 'PRN', 'AUX', 'NUL', 'COM1', 'COM2', 'COM3', 'COM4', 'COM5', 'COM6', 'COM7', 'COM8', 'COM9', 'LPT1', 'LPT2', 'LPT3', 'LPT4', 'LPT5', 'LPT6', 'LPT7', 'LPT8', 'LPT9']);
let starttime = 8d;
let endtime = 1d;
OfficeActivity | where TimeGenerated >= ago(endtime)
| where isnotempty(SourceFileExtension)
| where SourceFileName !~ SourceFileExtension
| where SourceFileExtension in~ (Reserved) or SourceFileName in~ (Reserved)
| where UserAgent !has ""Mac OS"" 
| project TimeGenerated, OfficeId, OfficeWorkload, RecordType, Operation, UserType, UserKey, UserId, ClientIP, UserAgent, Site_Url, SourceRelativeUrl, SourceFileName, SourceFileExtension 
| join kind= leftanti (
OfficeActivity | where TimeGenerated between (ago(starttime) .. ago(endtime))
| where isnotempty(SourceFileExtension)
| where SourceFileName !~ SourceFileExtension
| where SourceFileExtension in~ (Reserved) or SourceFileName in~ (Reserved)
| where UserAgent !has ""Mac OS"" 
| summarize SourceRelativeUrl = make_set(SourceRelativeUrl), UserId = make_set(UserId), SourceFileName = make_set(SourceFileName) , PrevSeenCount = count() by SourceFileExtension
// To exclude previous matches when only above a specific count, change threshold above and uncomment the line below
//| where PrevSeenCount > threshold
| mvexpand SourceRelativeUrl, UserId, SourceFileName
| extend SourceRelativeUrl = tostring(SourceRelativeUrl), UserId = tostring(UserId), SourceFileName = tostring(SourceFileName)
) on SourceFileExtension
| extend SiteUrlUserFolder = tolower(split(Site_Url, '/')[-2])
| extend UserIdUserFolderFormat = tolower(replace('@|\\.', '_',UserId))
// identify when UserId is not a match to the specific site url personal folder reference
| extend UserIdDiffThanUserFolder = iff(Site_Url has '/personal/' and SiteUrlUserFolder != UserIdUserFolderFormat, true , false ) 
| summarize TimeGenerated = make_list(TimeGenerated), StartTimeUtc = min(TimeGenerated), EndTimeUtc = max(TimeGenerated), Operations = make_list(Operation), UserAgents = make_list(UserAgent), 
OfficeIds = make_list(OfficeId), SourceRelativeUrls = make_list(SourceRelativeUrl), FileNames = make_list(SourceFileName)
by OfficeWorkload, RecordType, UserType, UserKey, UserId, ClientIP, Site_Url, SourceFileExtension, SiteUrlUserFolder, UserIdUserFolderFormat, UserIdDiffThanUserFolder
// Use mvexpand on any list items and you can expand out the exact time and other metadata about the hit
",no
Non-owner mailbox login activity,"'This will help you determine if mailbox access observed with Admin/Delegate Logontype. 
The logon type indicates mailbox accessed from non-owner user. Exchange allows Admin 
and delegate permissions to access other user's inbox.
If your organization has valid admin, delegate access given to users, you can whitelist those and investigate other results.
References: https://docs.microsoft.com/office/office-365-management-api/office-365-management-activity-api-schema#logontype'
",OfficeActivity,"{
    ""connectorId"":  ""Office365"",
    ""dataTypes"":  [
                      ""OfficeActivity""
                  ]
}","
let timeframe = 1d;
OfficeActivity
| where TimeGenerated >= ago(timeframe)
| where Operation == ""MailboxLogin"" and Logon_Type != ""Owner"" 
| summarize count(), min(TimeGenerated), max(TimeGenerated) by Operation, OrganizationName, UserType, UserId, MailboxOwnerUPN, Logon_Type
| extend timestamp = min_TimeGenerated, AccountCustomEntity = UserId
",no
Office Mail Forwarding - Hunting Version,"'Adversaries often abuse email-forwarding rules to monitor activities of a victim, steal information and further gain intelligence on
victim or victim's organization.This query over Office Activity data highlights cases where user mail is being forwarded and shows if 
it is being forwarded to external domains as well.'
",OfficeActivity,"{
    ""connectorId"":  ""Office365"",
    ""dataTypes"":  [
                      ""OfficeActivity""
                  ]
}","
let timeframe = 14d;
OfficeActivity
| where TimeGenerated >= ago(timeframe)
| where (Operation =~ ""Set-Mailbox"" and Parameters contains 'ForwardingSmtpAddress') 
or (Operation =~ 'New-InboxRule' and Parameters contains 'ForwardTo')
| extend parsed=parse_json(Parameters)
| extend fwdingDestination_initial = (iif(Operation=~""Set-Mailbox"", tostring(parsed[1].Value), tostring(parsed[2].Value)))
| where isnotempty(fwdingDestination_initial)
| extend fwdingDestination = iff(fwdingDestination_initial has ""smtp"", (split(fwdingDestination_initial,"":"")[1]), fwdingDestination_initial )
| parse fwdingDestination with * '@' ForwardedtoDomain 
| parse UserId with *'@' UserDomain
| extend subDomain = ((split(strcat(tostring(split(UserDomain, '.')[-2]),'.',tostring(split(UserDomain, '.')[-1])), '.') [0]))
| where ForwardedtoDomain !contains subDomain
| extend Result = iff( ForwardedtoDomain != UserDomain ,""Mailbox rule created to forward to External Domain"", ""Forward rule for Internal domain"")
| extend ClientIPAddress = case( ClientIP has ""."", tostring(split(ClientIP,"":"")[0]), ClientIP has ""["", tostring(trim_start(@'[[]',tostring(split(ClientIP,""]"")[0]))), ClientIP )
| extend Port = case(
ClientIP has ""."", (split(ClientIP,"":"")[1]),
ClientIP has ""["", tostring(split(ClientIP,""]:"")[1]),
ClientIP
)
| project TimeGenerated, UserId, UserDomain, subDomain, Operation, ForwardedtoDomain, ClientIPAddress, Result, Port, OriginatingServer, OfficeObjectId, fwdingDestination
| extend timestamp = TimeGenerated, AccountCustomEntity = UserId, IPCustomEntity = ClientIPAddress, HostCustomEntity =  OriginatingServer 
",no
Powershell or non-browser mailbox login activity,"'This will help you determine if mailbox login was done from Exchange Powershell session. 
By default, all accounts you create in Office 365 are allowed to use Exchange Online PowerShell. 
Administrators can use Exchange Online PowerShell to enable or disable a user's ability to connect to Exchange Online PowerShell.
Whitelist any benign scheduled activities using exchange powershell if applicable in your environment.
References: https://docs.microsoft.com/powershell/exchange/exchange-online/connect-to-exchange-online-powershell/connect-to-exchange-online-powershell?view=exchange-ps'
",OfficeActivity,"{
    ""connectorId"":  ""Office365"",
    ""dataTypes"":  [
                      ""OfficeActivity""
                  ]
}","
let timeframe = 1d;
OfficeActivity
| where TimeGenerated >= ago(timeframe)
| where Operation == ""MailboxLogin""
| where ClientInfoString == ""Client=Microsoft.Exchange.Powershell; Microsoft WinRM Client""
| summarize count(), min(TimeGenerated), max(TimeGenerated) by Operation, OrganizationName, UserType, UserId, MailboxOwnerUPN, Logon_Type, ClientInfoString
| extend timestamp = min_TimeGenerated, AccountCustomEntity = UserId
",no
SharePointFileOperation via clientIP with previously unseen user agents,"'New user agents associated with a clientIP for sharepoint file uploads/downloads.'
",OfficeActivity,"{
    ""connectorId"":  ""Office365"",
    ""dataTypes"":  [
                      ""OfficeActivity""
                  ]
}","
let starttime = 14d;
let endtime = 1d;
let historicalUA=
OfficeActivity
| where  RecordType == ""SharePointFileOperation""
| where Operation in (""FileDownloaded"", ""FileUploaded"")
| where TimeGenerated between(ago(starttime)..ago(endtime))
| summarize by ClientIP, UserAgent;
let recentUA = OfficeActivity
| where  RecordType == ""SharePointFileOperation""
| where Operation in (""FileDownloaded"", ""FileUploaded"")
| where TimeGenerated > ago(endtime) 
| summarize StartTimeUtc = min(TimeGenerated), EndTimeUtc = max(TimeGenerated) by ClientIP, UserAgent;
recentUA | join kind=leftanti (
   historicalUA 
) on ClientIP, UserAgent
// Some OfficeActivity records do not contain ClientIP information - exclude these for fewer results:
| where not(isempty(ClientIP)) 
| extend timestamp = StartTimeUtc, IPCustomEntity = ClientIP 
",no
Files uploaded to teams and access summary,"'Provides a summary of files uploaded to teams chats and extracts 
the users and IP addresses that have accessed them.'
",OfficeActivity,"{
    ""connectorId"":  ""Office365"",
    ""dataTypes"":  [
                      ""OfficeActivity""
                  ]
}","
OfficeActivity 
| where RecordType =~ ""SharePointFileOperation"" 
| where UserId != ""app@sharepoint""
| where SourceRelativeUrl contains ""Microsoft Teams Chat Files"" 
| where Operation =~ ""FileUploaded"" 
| join kind= leftouter ( 
   OfficeActivity 
    | where RecordType =~ ""SharePointFileOperation""
    | where UserId != ""app@sharepoint""
    | where SourceRelativeUrl contains ""Microsoft Teams Chat Files"" 
    | where Operation =~ ""FileDownloaded"" or Operation =~ ""FileAccessed"" 
) on OfficeObjectId 
| extend userBag = pack(UserId1, ClientIP1) 
| summarize makeset(UserId1), make_bag(userBag) by TimeGenerated, UserId, OfficeObjectId, SourceFileName 
| extend NumberUsers = array_length(bag_keys(bag_userBag))
| project timestamp=TimeGenerated, AccountCustomEntity=UserId, FileLocation=OfficeObjectId, FileName=SourceFileName, AccessedBy=bag_userBag, NumberOfUsersAccessed=NumberUsers
",no
Windows Reserved Filenames staged on Office file services,"'Identifies when Windows Reserved Filenames show up on Office services such as SharePoint and OneDrive.
List currently includes 'CON', 'PRN', 'AUX', 'NUL', 'COM1', 'COM2', 'COM3', 'COM4', 'COM5', 'COM6', 
'COM7', 'COM8', 'COM9', 'LPT1', 'LPT2', 'LPT3', 'LPT4', 'LPT5', 'LPT6', 'LPT7', 'LPT8', 'LPT9' file extensions.
Additionally, identifies when a given user is uploading these files to another users workspace.
This may be indication of a staging location for malware or other malicious activity.
References: https://docs.microsoft.com/windows/win32/fileio/naming-a-file'
",OfficeActivity,"{
    ""connectorId"":  ""Office365"",
    ""dataTypes"":  [
                      ""OfficeActivity""
                  ]
}","
// Reserved FileNames/Extension for Windows
let Reserved = dynamic(['CON', 'PRN', 'AUX', 'NUL', 'COM1', 'COM2', 'COM3', 'COM4', 'COM5', 'COM6', 'COM7', 'COM8', 'COM9', 'LPT1', 'LPT2', 'LPT3', 'LPT4', 'LPT5', 'LPT6', 'LPT7', 'LPT8', 'LPT9']);
let endtime = 1d;
OfficeActivity | where TimeGenerated >= ago(endtime)
| where isnotempty(SourceFileExtension)
| where SourceFileExtension in~ (Reserved) or SourceFileName in~ (Reserved)
| where UserAgent !has ""Mac OS"" 
| extend SiteUrlUserFolder = tolower(split(Site_Url, '/')[-2])
| extend UserIdUserFolderFormat = tolower(replace('@|\\.', '_',UserId))
// identify when UserId is not a match to the specific site url personal folder reference
| extend UserIdDiffThanUserFolder = iff(Site_Url has '/personal/' and SiteUrlUserFolder != UserIdUserFolderFormat, true , false ) 
| summarize TimeGenerated = make_list(TimeGenerated), StartTimeUtc = min(TimeGenerated), EndTimeUtc = max(TimeGenerated), Operations = make_list(Operation), UserAgents = make_list(UserAgent), 
OfficeIds = make_list(OfficeId), SourceRelativeUrls = make_list(SourceRelativeUrl), FileNames = make_list(SourceFileName)
by OfficeWorkload, RecordType, UserType, UserKey, UserId, ClientIP, Site_Url, SourceFileExtension,SiteUrlUserFolder, UserIdUserFolderFormat, UserIdDiffThanUserFolder
// Use mvexpand on any list items and you can expand out the exact time and other metadata about the hit
",no
External user added and removed in short timeframe,"'This hunting query identifies external user accounts that are added to a Team and then removed within
one hour.
This query is works with the built-in Teams data connector only.'
",OfficeActivity,"{
    ""connectorId"":  ""Office365"",
    ""dataTypes"":  [
                      ""OfficeActivity""
                  ]
}","
// If you want to look at user added further than 7 days ago adjust this value
let time_ago = 7d;
// If you want to change the timeframe of how quickly accounts need to be added and removed change this value
let time_delta = 1h;
OfficeActivity
| where TimeGenerated > ago(time_ago)
| where OfficeWorkload =~ ""MicrosoftTeams""
| where Operation =~ ""MemberAdded""
| extend UPN = tostring(Members[0].UPN)
| where UPN contains (""#EXT#"")
| project TimeAdded=TimeGenerated, Operation, UPN, UserWhoAdded = UserId, TeamName, TeamGuid
| join (
OfficeActivity
| where TimeGenerated > ago(time_ago)
| where OfficeWorkload =~ ""MicrosoftTeams""
| where Operation =~ ""MemberRemoved""
| extend UPN = tostring(Members[0].UPN)
| where UPN contains (""#EXT#"")
| project TimeDeleted=TimeGenerated, Operation, UPN, UserWhoDeleted = UserId, TeamName, TeamGuid on UPN, TeamGuid
| where TimeDeleted < (TimeAdded + time_delta)
| project TimeAdded, TimeDeleted, UPN, UserWhoAdded, UserWhoDeleted, TeamName, TeamGuid
// Uncomment the following line to map query entities is you plan to use this as a detection query
//| extend timestamp = TimeAdded, AccountCustomEntity = UPN
",no
Multiple Teams deleted by a single user,"'This hunting query identifies where multiple Teams have been deleted by a single user in a short timeframe.
 This query is works with the built-in Teams data connector only.'
",OfficeActivity,"{
    ""connectorId"":  ""Office365"",
    ""dataTypes"":  [
                      ""OfficeActivity""
                  ]
}","
// Adjust this value to change how many Teams should be deleted before including
let max_delete = 3;
// Adjust this value to change the timewindow the query runs over
let time_window = 1d;
let deleting_users = (
OfficeActivity
| where TimeGenerated > ago(time_window)
| where OfficeWorkload =~ ""MicrosoftTeams""
| where Operation =~ ""TeamDeleted""
| summarize count() by UserId
| where count_ > max_delete
| project UserId);
  OfficeActivity
| where TimeGenerated > ago(time_window)
| where OfficeWorkload =~ ""MicrosoftTeams""
| where Operation =~ ""TeamDeleted""
| where UserId in (deleting_users)
// Uncomment the following line to map query entities is you plan to use this as a detection query
//| extend timestamp = TimeGenerated, AccountCustomEntity = UserId
",no
